 10,0.4869,0.6392,0.6333,0.7289
 20,0.3244,0.4129,0.5197,0.6392
 30,0.1942,0.4036,0.4852,0.6239
 40,0.1459,0.3689,0.4981,0.5651
 50,0.1865,0.2887,0.4174,0.5647
 60,0.1270,0.2982,0.4234,0.5722
 70,0.1011,0.2490,0.3928,0.5558
 80,0.0758,0.2375,0.4067,0.5514
 90,0.0788,0.3083,0.4285,0.4752
100,0.0803,0.1992,0.4687,0.4612
110,0.0600,0.2374,0.3730,0.4635
120,0.0828,0.2353,0.3452,0.4631
130,0.0585,0.2452,0.3633,0.4602
140,0.0502,0.1910,0.3399,0.4380
150,0.0722,0.1820,0.3661,0.4694
160,0.0455,0.2230,0.3595,0.4731
170,0.0434,0.2183,0.2901,0.4366
180,0.0431,0.1827,0.2847,0.4355
190,0.0407,0.1701,0.2998,0.3975
200,0.0498,0.1818,0.3052,0.3911
210,0.0360,0.1826,0.2765,0.3745
220,0.0280,0.1795,0.3112,0.4053
230,0.0421,0.1691,0.2538,0.3585
240,0.0386,0.1823,0.3016,0.4453
250,0.0322,0.1679,0.2420,0.3972
260,0.0356,0.1548,0.2990,0.3791
270,0.0509,0.1776,0.2737,0.3705
280,0.0286,0.1520,0.2662,0.3499
290,0.0381,0.1505,0.2471,0.4759
300,0.0319,0.1464,0.2994,0.3684
310,0.0251,0.1518,0.2526,0.3728
320,0.0232,0.1688,0.2771,0.3506
330,0.0268,0.1578,0.2634,0.3705
340,0.0308,0.1365,0.2453,0.3763
350,0.0224,0.1470,0.2525,0.3785
360,0.0207,0.1375,0.2547,0.3960
370,0.0274,0.1406,0.2395,0.3406
380,0.0393,0.1176,0.2223,0.3344
390,0.0250,0.1400,0.2442,0.3318
400,0.0253,0.1198,0.2241,0.3583
410,0.0210,0.1223,0.2131,0.3391
420,0.0228,0.1348,0.2119,0.3670
430,0.0203,0.1278,0.2590,0.3794
440,0.0170,0.1183,0.2142,0.3705
450,0.0187,0.1366,0.2270,0.3164
460,0.0171,0.1350,0.2307,0.3142
470,0.0168,0.1370,0.2154,0.3514
480,0.0181,0.1158,0.2464,0.3174
490,0.0163,0.1067,0.2499,0.3029
500,0.0191,0.1333,0.2177,0.3356
510,0.0152,0.1180,0.2089,0.3155
520,0.0165,0.1271,0.2340,0.3435
530,0.0249,0.1159,0.2243,0.3128
540,0.0171,0.1211,0.1975,0.2968
550,0.0179,0.1223,0.2289,0.3118
560,0.0131,0.1041,0.2392,0.3266
570,0.0161,0.1148,0.2153,0.3202
580,0.0142,0.1008,0.2153,0.3399
590,0.0190,0.1168,0.2027,0.3303
600,0.0150,0.1051,0.2427,0.3097
610,0.0152,0.1352,0.1784,0.3108
620,0.0160,0.1174,0.1915,0.3258
630,0.0147,0.1121,0.2073,0.3217
640,0.0132,0.1075,0.2029,0.3203
650,0.0147,0.1056,0.2158,0.3448
660,0.0129,0.1091,0.1901,0.3353
670,0.0174,0.1193,0.2317,0.3363
680,0.0175,0.1093,0.1832,0.3199
690,0.0141,0.1024,0.2098,0.2885
700,0.0136,0.1015,0.1839,0.2786
710,0.0132,0.0929,0.2090,0.3069
720,0.0108,0.0996,0.2226,0.2956
730,0.0131,0.1096,0.1882,0.2863
740,0.0121,0.1092,0.1970,0.2951
750,0.0143,0.1007,0.2437,0.2941
760,0.0123,0.1131,0.2047,0.3091
770,0.0123,0.0926,0.1829,0.2949
780,0.0109,0.1021,0.2179,0.3230
790,0.0116,0.1040,0.1796,0.2925
800,0.0121,0.0941,0.1806,0.2953
810,0.0129,0.1022,0.1891,0.3030
820,0.0114,0.0864,0.1709,0.2773
830,0.0117,0.1015,0.1795,0.2719
840,0.0113,0.1158,0.2020,0.2899
850,0.0135,0.1064,0.1708,0.3113
860,0.0096,0.1023,0.1979,0.3058
870,0.0094,0.0954,0.1932,0.2942
880,0.0093,0.0931,0.2034,0.2837
890,0.0101,0.0898,0.2149,0.2680
900,0.0108,0.0861,0.2143,0.2599
910,0.0133,0.0869,0.1844,0.2720
920,0.0100,0.0913,0.1772,0.2857
930,0.0096,0.0927,0.1695,0.2909
940,0.0092,0.0858,0.1748,0.3464
950,0.0098,0.0866,0.1756,0.2774
960,0.0102,0.0997,0.1850,0.2646
970,0.0093,0.0883,0.1829,0.2764
980,0.0091,0.1080,0.1806,0.2721
990,0.0096,0.1080,0.1722,0.2573
1000,0.0104,0.0950,0.2229,0.2936
1000,0.0093,0.0864,0.1748,0.2767
1100,0.0115,0.0751,0.1778,0.2682
1200,0.0077,0.0767,0.1603,0.2660
1300,0.0080,0.0677,0.1611,0.2532
1400,0.0054,0.0663,0.1486,0.2426
1500,0.0053,0.0677,0.1369,0.2311
1600,0.0059,0.0749,0.1429,0.2424
1700,0.0054,0.0646,0.1452,0.2524
1800,0.0049,0.0624,0.1225,0.2097
1900,0.0052,0.0712,0.1440,0.2278
2000,0.0037,0.0590,0.1409,0.2660
2000,0.0049,0.0538,0.1527,0.2586
3000,0.0043,0.0413,0.1238,0.2048
4000,0.0026,0.0445,0.1050,0.1986
5000,0.0025,0.0467,0.0921,0.1848
6000,0.0015,0.0396,0.0966,0.1813
7000,0.0014,0.0358,0.0842,0.1772
8000,0.0013,0.0268,0.0839,0.1739
9000,0.0013,0.0397,0.0844,0.1695
10000,0.0011,0.0279,0.0835,0.1428
