0,0,0,47,1638,16,1576,19,1552
0,0,0,33,1648,19,1524,17,1581
0,0,0,39,1658,18,1518,20,1537
0,0,0,35,1637,20,1517,21,1504
0,0,0,38,1632,20,1467,19,1501
0,0,0,36,1644,20,1482,17,1500
0,0,0,36,1639,25,1520,20,1518
0,0,0,36,1621,19,1518,18,1504
0,0,0,39,1655,29,1525,17,1508
0,0,0,35,1632,19,1529,20,1515
0,0,0,44,1605,21,1544,17,1505
0,0,0,39,1610,18,1548,18,1484
0,0,0,41,1626,17,1555,17,1502
0,0,0,36,1655,18,1542,17,1493
0,0,0,40,1634,18,1561,20,1596
0,0,0,37,1647,17,1534,19,1572
0,0,0,38,1717,18,1505,20,1477
0,0,0,35,1635,19,1555,17,1475
0,0,0,44,1614,19,1523,17,1474
0,0,0,38,1662,16,1530,20,1577
0,0,0,38,1659,19,1541,20,1570
0,0,0,39,1663,17,1549,20,1530
0,0,0,34,1672,17,1550,18,1560
0,0,0,38,1633,17,1544,20,1573
0,0,0,37,1645,19,1470,21,1461
0,0,0,39,1678,17,1556,18,1569
0,0,0,34,1651,18,1516,17,1496
0,0,0,40,1627,18,1570,19,1492
0,0,0,36,1632,19,1576,20,1519
0,0,0,35,1667,17,1589,21,1512
0,0,0,42,1643,18,1508,17,1498
0,0,0,37,1639,18,1501,19,1544
0,0,0,44,1672,17,1568,19,1566
0,0,0,40,1647,19,1685,21,1588
0,0,0,36,1661,17,1548,17,1592
0,0,0,32,1648,18,1584,20,1572
0,0,0,36,1662,17,1584,18,1585
0,0,0,34,1642,17,1572,21,1605
0,0,0,36,1682,20,1575,20,1582
0,0,0,35,1717,18,1584,19,1590
0,0,0,37,1668,19,1559,23,1563
0,0,0,38,1679,19,1558,17,1609
0,0,0,36,1649,17,1546,19,1567
0,0,0,31,1670,20,1579,20,1578
0,0,0,37,1694,19,1583,18,1609
0,0,0,35,1681,17,1576,20,1612
0,0,0,32,1706,20,1625,25,1605
0,0,0,33,1683,19,1596,18,1567
0,0,0,31,1651,17,1622,22,1583
0,0,0,34,1698,18,1593,19,1569
